Data,Estado,Mortos,Feridos,Total
29/12/2019,California,0,5,5
29/12/2019,Illinois,0,5,5
29/12/2019,New York,1,3,4
27/12/2019,Texas,2,7,9
27/12/2019,Georgia,0,4,4
27/12/2019,California,1,3,4
26/12/2019,Florida,0,5,5
25/12/2019,Iowa,1,3,4
25/12/2019,Virginia,1,3,4
25/12/2019,California,0,4,4
24/12/2019,North Carolina,0,6,6
24/12/2019,Louisiana,0,4,4
22/12/2019,Illinois,0,13,13
22/12/2019,Maryland,0,7,7
21/12/2019,Mississippi,1,6,7
20/12/2019,North Carolina,2,2,4
20/12/2019,Alabama,2,2,4
19/12/2019,Rhode Island,2,2,4
18/12/2019,Texas,0,4,4
17/12/2019,Montana,4,1,5
15/12/2019,Georgia,1,4,5
14/12/2019,California,0,4,4
12/12/2019,Missouri,1,3,4
10/12/2019,New Jersey,6,3,9
10/12/2019,Texas,4,0,4
08/12/2019,Texas,2,3,5
08/12/2019,Louisiana,1,4,5
06/12/2019,Florida,4,8,12
05/12/2019,Florida,4,1,5
04/12/2019,Hawaii,3,1,4
04/12/2019,Alabama,2,2,4
01/12/2019,Michigan,1,3,4
01/12/2019,Louisiana,2,3,5
01/12/2019,Louisiana,2,2,4
01/12/2019,Illinois,1,4,5
01/12/2019,Louisiana,0,10,10
29/11/2019,Texas,0,7,7
27/11/2019,New York,0,5,5
25/11/2019,Florida,2,2,4
24/11/2019,California,0,6,6
24/11/2019,Louisiana,2,2,4
24/11/2019,Alabama,1,4,5
23/11/2019,Louisiana,1,6,7
23/11/2019,California,0,4,4
21/11/2019,California,0,5,5
21/11/2019,Washington,0,4,4
20/11/2019,California,0,4,4
18/11/2019,New Jersey,1,3,4
17/11/2019,California,4,6,10
17/11/2019,Ohio,0,4,4
16/11/2019,California,5,1,6
14/11/2019,California,3,3,6
11/11/2019,Florida,0,4,4
10/11/2019,Missouri,0,4,4
10/11/2019,Tennessee,1,4,5
10/11/2019,Arkansas,0,4,4
09/11/2019,Georgia,0,4,4
09/11/2019,Michigan,0,4,4
07/11/2019,Georgia,2,3,5
04/11/2019,Texas,1,3,4
03/11/2019,Ohio,0,4,4
03/11/2019,Texas,1,3,4
02/11/2019,Michigan,1,4,5
02/11/2019,Louisiana,0,4,4
01/11/2019,Arizona,0,5,5
01/11/2019,Texas,0,4,4
31/10/2019,California,5,4,9
29/10/2019,California,3,9,12
